spol,tip_putnika,godine,vrsta_putovanja,klasa,udaljenost_leta,vrijeme_odlaska_dolaska,kasnjenje_polaska_u_minutama,kasnjenje_dolaska_u_minutama,zadovoljstvo_putnika
musko,Lojalan putnik,22,Poslovno putovanje,Poslovna,277,3,116,177,Neutralan ili nezadovoljan
zensko,Lojalan putnik,28,Poslovno putovanje,Poslovna,1024,1,0,3,Zadovoljan
zensko,Lojalan putnik,36,Poslovno putovanje,Ekonomska Plus,267,3,59,55,Neutralan ili nezadovoljan
zensko,Lojalan putnik,62,Poslovno putovanje,Ekonomska,550,1,92,90,Zadovoljan
zensko,Lojalan putnik,60,Poslovno putovanje,Poslovna,1889,2,0,0,Zadovoljan
zensko,Lojalan putnik,59,Lično putovanje,Ekonomska,460,5,4,2,Neutralan ili nezadovoljan
zensko,Lojalan putnik,49,Poslovno putovanje,Poslovna,3295,4,0,4,Zadovoljan
zensko,Lojalan putnik,44,Lično putovanje,Ekonomska,1205,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,58,Lično putovanje,Ekonomska Plus,990,5,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,24,Poslovno putovanje,Poslovna,444,0,20,32,Zadovoljan
zensko,Lojalan putnik,53,Poslovno putovanje,Ekonomska,520,2,17,0,Zadovoljan
musko,Lojalan putnik,56,Poslovno putovanje,Ekonomska,321,3,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,30,Poslovno putovanje,Poslovna,651,3,0,0,Zadovoljan
musko,Nelojalan putnik,27,Poslovno putovanje,Poslovna,764,3,30,46,Neutralan ili nezadovoljan
musko,Lojalan putnik,27,Poslovno putovanje,Poslovna,566,3,0,0,Zadovoljan
zensko,Lojalan putnik,67,Lično putovanje,Ekonomska,626,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,32,Lično putovanje,Ekonomska,130,0,3,4,Neutralan ili nezadovoljan
musko,Nelojalan putnik,36,Poslovno putovanje,Ekonomska,331,0,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,44,Poslovno putovanje,Poslovna,158,3,66,57,Zadovoljan
zensko,Lojalan putnik,70,Lično putovanje,Ekonomska,1829,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,55,Lično putovanje,Ekonomska,646,2,0,3,Neutralan ili nezadovoljan
musko,Lojalan putnik,66,Poslovno putovanje,Ekonomska,404,1,9,6,Zadovoljan
zensko,Lojalan putnik,19,Poslovno putovanje,Poslovna,2738,5,0,0,Zadovoljan
zensko,Lojalan putnik,53,Lično putovanje,Ekonomska Plus,964,5,6,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,22,Poslovno putovanje,Poslovna,1660,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,69,Lično putovanje,Ekonomska,872,3,14,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,42,Poslovno putovanje,Poslovna,1898,5,49,47,Zadovoljan
zensko,Lojalan putnik,41,Poslovno putovanje,Poslovna,967,2,44,40,Zadovoljan
zensko,Lojalan putnik,53,Lično putovanje,Poslovna,1242,4,3,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,35,Poslovno putovanje,Poslovna,1042,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,54,Lično putovanje,Poslovna,153,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,44,Poslovno putovanje,Poslovna,366,3,5,24,Zadovoljan
zensko,Nelojalan putnik,26,Poslovno putovanje,Ekonomska Plus,913,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,44,Lično putovanje,Ekonomska,528,5,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,24,Poslovno putovanje,Ekonomska,1172,3,28,27,Neutralan ili nezadovoljan
zensko,Lojalan putnik,54,Lično putovanje,Ekonomska,999,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,42,Poslovno putovanje,Ekonomska Plus,489,2,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,36,Poslovno putovanje,Ekonomska,692,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,61,Poslovno putovanje,Poslovna,1585,2,24,20,Zadovoljan
zensko,Lojalan putnik,50,Lično putovanje,Ekonomska,140,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,27,Poslovno putovanje,Poslovna,2729,3,44,52,Zadovoljan
musko,Lojalan putnik,55,Poslovno putovanje,Poslovna,1400,5,1,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,21,Poslovno putovanje,Ekonomska,447,2,7,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,31,Lično putovanje,Poslovna,334,1,5,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,37,Poslovno putovanje,Ekonomska,158,2,24,20,Neutralan ili nezadovoljan
zensko,Lojalan putnik,50,Poslovno putovanje,Poslovna,3696,1,9,0,Zadovoljan
zensko,Lojalan putnik,21,Lično putovanje,Ekonomska,846,4,9,17,Neutralan ili nezadovoljan
zensko,Lojalan putnik,53,Poslovno putovanje,Ekonomska,329,0,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,45,Poslovno putovanje,Poslovna,2580,3,0,11,Zadovoljan
zensko,Nelojalan putnik,42,Poslovno putovanje,Ekonomska,84,5,0,34,Neutralan ili nezadovoljan
musko,Lojalan putnik,59,Poslovno putovanje,Poslovna,3358,3,0,0,Zadovoljan
zensko,Lojalan putnik,54,Poslovno putovanje,Ekonomska,308,1,83,95,Neutralan ili nezadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,912,1,5,0,Zadovoljan
zensko,Lojalan putnik,52,Lično putovanje,Ekonomska Plus,406,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,38,Lično putovanje,Ekonomska,397,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,35,Poslovno putovanje,Poslovna,2409,3,0,0,Zadovoljan
zensko,Lojalan putnik,41,Lično putovanje,Ekonomska,545,2,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,40,Poslovno putovanje,Poslovna,2419,2,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,36,Poslovno putovanje,Ekonomska,1061,2,13,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,67,Lično putovanje,Ekonomska,899,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,38,Lično putovanje,Ekonomska,293,4,5,0,Zadovoljan
zensko,Lojalan putnik,50,Lično putovanje,Ekonomska,1085,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,50,Poslovno putovanje,Poslovna,2475,5,0,0,Zadovoljan
musko,Lojalan putnik,54,Poslovno putovanje,Poslovna,2544,5,62,66,Zadovoljan
musko,Lojalan putnik,56,Poslovno putovanje,Poslovna,2556,4,117,113,Zadovoljan
musko,Lojalan putnik,38,Lično putovanje,Ekonomska,237,4,0,2,Neutralan ili nezadovoljan
zensko,Lojalan putnik,7,Lično putovanje,Ekonomska,1120,5,16,13,Neutralan ili nezadovoljan
zensko,Lojalan putnik,32,Poslovno putovanje,Poslovna,2668,5,2,0,Zadovoljan
musko,Lojalan putnik,45,Poslovno putovanje,Ekonomska,1660,1,0,7,Neutralan ili nezadovoljan
musko,Nelojalan putnik,25,Poslovno putovanje,Ekonomska,1310,2,0,24,Neutralan ili nezadovoljan
zensko,Lojalan putnik,45,Poslovno putovanje,Poslovna,2374,5,0,0,Zadovoljan
musko,Lojalan putnik,34,Lično putovanje,Ekonomska,209,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,20,Lično putovanje,Ekonomska Plus,305,4,5,2,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,36,Poslovno putovanje,Ekonomska,247,1,16,6,Neutralan ili nezadovoljan
musko,Nelojalan putnik,36,Poslovno putovanje,Ekonomska,338,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,27,Poslovno putovanje,Poslovna,3200,1,0,0,Zadovoljan
musko,Lojalan putnik,40,Lično putovanje,Ekonomska,1368,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,31,Poslovno putovanje,Poslovna,1999,5,0,4,Zadovoljan
musko,Lojalan putnik,25,Poslovno putovanje,Ekonomska Plus,680,5,0,0,Zadovoljan
musko,Lojalan putnik,42,Poslovno putovanje,Poslovna,537,2,0,0,Zadovoljan
zensko,Lojalan putnik,45,Poslovno putovanje,Ekonomska,288,1,29,40,Zadovoljan
musko,Lojalan putnik,59,Lično putovanje,Poslovna,639,1,0,11,Neutralan ili nezadovoljan
musko,Lojalan putnik,34,Lično putovanje,Ekonomska,201,5,3,8,Neutralan ili nezadovoljan
zensko,Lojalan putnik,22,Lično putovanje,Ekonomska,213,5,0,17,Neutralan ili nezadovoljan
musko,Lojalan putnik,21,Lično putovanje,Ekonomska,1096,2,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,26,Poslovno putovanje,Poslovna,1680,1,27,10,Neutralan ili nezadovoljan
musko,Lojalan putnik,37,Poslovno putovanje,Poslovna,2401,2,94,86,Zadovoljan
musko,Lojalan putnik,38,Poslovno putovanje,Poslovna,2746,2,0,0,Zadovoljan
zensko,Lojalan putnik,17,Lično putovanje,Ekonomska,89,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,15,Lično putovanje,Ekonomska Plus,192,4,5,8,Neutralan ili nezadovoljan
zensko,Lojalan putnik,53,Lično putovanje,Ekonomska,404,3,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,39,Poslovno putovanje,Poslovna,546,4,93,88,Neutralan ili nezadovoljan
musko,Lojalan putnik,40,Poslovno putovanje,Poslovna,2400,3,0,0,Zadovoljan
zensko,Nelojalan putnik,28,Poslovno putovanje,Ekonomska Plus,599,2,0,46,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,27,Poslovno putovanje,Poslovna,2342,3,10,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,41,Poslovno putovanje,Poslovna,3046,5,0,0,Zadovoljan
zensko,Lojalan putnik,7,Lično putovanje,Ekonomska,516,4,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,48,Poslovno putovanje,Poslovna,759,3,2,1,Neutralan ili nezadovoljan
musko,Lojalan putnik,13,Poslovno putovanje,Ekonomska,1400,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,48,Poslovno putovanje,Poslovna,491,3,0,0,Zadovoljan
zensko,Lojalan putnik,49,Lično putovanje,Ekonomska,134,3,8,3,Neutralan ili nezadovoljan
musko,Nelojalan putnik,26,Poslovno putovanje,Poslovna,900,5,5,0,Zadovoljan
musko,Lojalan putnik,22,Poslovno putovanje,Poslovna,3648,2,0,0,Zadovoljan
zensko,Lojalan putnik,53,Poslovno putovanje,Poslovna,3769,1,180,178,Neutralan ili nezadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Ekonomska,563,4,0,0,Zadovoljan
musko,Lojalan putnik,56,Poslovno putovanje,Poslovna,3131,1,0,0,Zadovoljan
zensko,Lojalan putnik,69,Lično putovanje,Ekonomska,631,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,59,Lično putovanje,Ekonomska,351,3,0,0,Zadovoljan
zensko,Lojalan putnik,56,Poslovno putovanje,Poslovna,1189,5,9,0,Zadovoljan
musko,Lojalan putnik,11,Lično putovanje,Ekonomska,562,5,0,0,Zadovoljan
zensko,Lojalan putnik,25,Poslovno putovanje,Ekonomska,1874,3,86,78,Zadovoljan
zensko,Nelojalan putnik,29,Poslovno putovanje,Ekonomska,158,0,0,0,Zadovoljan
zensko,Lojalan putnik,48,Poslovno putovanje,Ekonomska,95,3,0,0,Zadovoljan
zensko,Lojalan putnik,42,Poslovno putovanje,Poslovna,266,1,0,0,Zadovoljan
musko,Nelojalan putnik,15,Poslovno putovanje,Ekonomska,449,4,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,49,Poslovno putovanje,Poslovna,1416,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,41,Poslovno putovanje,Poslovna,2388,2,29,18,Zadovoljan
musko,Lojalan putnik,43,Poslovno putovanje,Poslovna,1678,1,0,0,Zadovoljan
musko,Lojalan putnik,60,Poslovno putovanje,Poslovna,1972,5,0,0,Zadovoljan
zensko,Lojalan putnik,42,Lično putovanje,Ekonomska,337,1,0,0,Zadovoljan
zensko,Lojalan putnik,8,Lično putovanje,Ekonomska,253,3,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,42,Poslovno putovanje,Ekonomska,212,3,82,72,Zadovoljan
musko,Nelojalan putnik,18,Poslovno putovanje,Ekonomska Plus,342,1,32,41,Neutralan ili nezadovoljan
musko,Lojalan putnik,47,Poslovno putovanje,Poslovna,3556,2,0,0,Zadovoljan
zensko,Nelojalan putnik,27,Poslovno putovanje,Ekonomska,191,4,16,12,Neutralan ili nezadovoljan
zensko,Lojalan putnik,67,Lično putovanje,Ekonomska Plus,693,1,100,91,Neutralan ili nezadovoljan
musko,Nelojalan putnik,38,Poslovno putovanje,Poslovna,641,5,0,0,Zadovoljan
zensko,Nelojalan putnik,20,Poslovno putovanje,Ekonomska,471,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,60,Poslovno putovanje,Poslovna,3823,2,1,0,Zadovoljan
musko,Nelojalan putnik,23,Poslovno putovanje,Poslovna,282,5,9,1,Zadovoljan
musko,Nelojalan putnik,25,Poslovno putovanje,Poslovna,544,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,38,Poslovno putovanje,Poslovna,2955,3,0,0,Zadovoljan
zensko,Lojalan putnik,40,Poslovno putovanje,Poslovna,2806,1,0,4,Zadovoljan
musko,Lojalan putnik,19,Lično putovanje,Ekonomska,587,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,61,Poslovno putovanje,Poslovna,2073,3,6,0,Zadovoljan
musko,Lojalan putnik,44,Lično putovanje,Ekonomska,1249,4,25,6,Neutralan ili nezadovoljan
zensko,Lojalan putnik,22,Lično putovanje,Ekonomska,284,5,34,35,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,8,Poslovno putovanje,Ekonomska,946,2,2,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,45,Poslovno putovanje,Poslovna,3947,4,25,16,Neutralan ili nezadovoljan
musko,Lojalan putnik,46,Lično putovanje,Ekonomska,895,5,40,25,Zadovoljan
zensko,Lojalan putnik,54,Poslovno putovanje,Poslovna,1634,2,90,77,Neutralan ili nezadovoljan
musko,Lojalan putnik,62,Lično putovanje,Ekonomska,588,1,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,25,Poslovno putovanje,Poslovna,2533,5,0,0,Zadovoljan
zensko,Lojalan putnik,32,Lično putovanje,Ekonomska,641,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,65,Lično putovanje,Ekonomska,581,4,1,3,Neutralan ili nezadovoljan
musko,Nelojalan putnik,40,Poslovno putovanje,Poslovna,223,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,30,Poslovno putovanje,Ekonomska Plus,326,0,0,0,Zadovoljan
zensko,Lojalan putnik,67,Lično putovanje,Ekonomska,599,1,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,51,Poslovno putovanje,Poslovna,2075,5,0,0,Zadovoljan
zensko,Lojalan putnik,47,Poslovno putovanje,Poslovna,964,5,1,3,Zadovoljan
zensko,Lojalan putnik,38,Poslovno putovanje,Ekonomska,599,4,8,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,54,Poslovno putovanje,Poslovna,3138,1,0,0,Zadovoljan
zensko,Lojalan putnik,57,Lično putovanje,Ekonomska,251,5,0,4,Neutralan ili nezadovoljan
musko,Lojalan putnik,13,Lično putovanje,Ekonomska,1119,5,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,20,Poslovno putovanje,Ekonomska,337,0,0,0,Zadovoljan
zensko,Lojalan putnik,45,Poslovno putovanje,Poslovna,759,2,23,94,Neutralan ili nezadovoljan
zensko,Lojalan putnik,51,Poslovno putovanje,Poslovna,2344,2,0,0,Zadovoljan
musko,Nelojalan putnik,25,Poslovno putovanje,Poslovna,296,0,0,0,Zadovoljan
zensko,Lojalan putnik,39,Lično putovanje,Ekonomska,1005,4,168,163,Neutralan ili nezadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,580,3,18,16,Zadovoljan
musko,Lojalan putnik,53,Poslovno putovanje,Ekonomska,359,3,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,61,Lično putovanje,Ekonomska,1217,4,0,0,Zadovoljan
zensko,Lojalan putnik,61,Poslovno putovanje,Ekonomska Plus,384,5,96,102,Zadovoljan
musko,Lojalan putnik,16,Lično putovanje,Ekonomska,2586,5,45,42,Neutralan ili nezadovoljan
zensko,Lojalan putnik,44,Poslovno putovanje,Poslovna,2903,1,0,1,Neutralan ili nezadovoljan
zensko,Lojalan putnik,17,Poslovno putovanje,Poslovna,3170,5,16,0,Zadovoljan
zensko,Lojalan putnik,50,Poslovno putovanje,Ekonomska,1276,2,35,49,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,40,Poslovno putovanje,Poslovna,825,4,0,4,Zadovoljan
musko,Lojalan putnik,47,Poslovno putovanje,Poslovna,2204,5,6,0,Zadovoljan
zensko,Lojalan putnik,80,Poslovno putovanje,Poslovna,3464,1,0,0,Zadovoljan
zensko,Lojalan putnik,38,Lično putovanje,Ekonomska,562,3,0,0,Zadovoljan
musko,Lojalan putnik,31,Lično putovanje,Ekonomska,404,1,0,0,Zadovoljan
musko,Lojalan putnik,59,Poslovno putovanje,Poslovna,1199,2,0,15,Neutralan ili nezadovoljan
zensko,Lojalan putnik,22,Poslovno putovanje,Poslovna,1968,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,53,Poslovno putovanje,Poslovna,2560,5,0,3,Zadovoljan
zensko,Lojalan putnik,56,Poslovno putovanje,Ekonomska Plus,308,2,0,0,Zadovoljan
zensko,Lojalan putnik,48,Lično putovanje,Ekonomska,362,4,0,0,Neutralan ili nezadovoljan
musko,Nelojalan putnik,38,Poslovno putovanje,Poslovna,1562,3,2,25,Neutralan ili nezadovoljan
musko,Lojalan putnik,64,Lično putovanje,Ekonomska,129,0,13,9,Neutralan ili nezadovoljan
musko,Lojalan putnik,67,Lično putovanje,Ekonomska,591,4,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,62,Poslovno putovanje,Poslovna,3692,2,0,0,Zadovoljan
musko,Lojalan putnik,57,Poslovno putovanje,Poslovna,1859,1,16,15,Zadovoljan
zensko,Nelojalan putnik,27,Poslovno putovanje,Ekonomska,986,1,24,32,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,25,Poslovno putovanje,Ekonomska,1024,1,13,11,Neutralan ili nezadovoljan
zensko,Lojalan putnik,52,Poslovno putovanje,Ekonomska,919,4,85,72,Neutralan ili nezadovoljan
zensko,Lojalan putnik,45,Poslovno putovanje,Ekonomska Plus,576,2,0,0,Zadovoljan
zensko,Nelojalan putnik,23,Poslovno putovanje,Ekonomska,423,3,6,13,Neutralan ili nezadovoljan
musko,Lojalan putnik,55,Poslovno putovanje,Ekonomska,1416,2,1,0,Zadovoljan
musko,Lojalan putnik,53,Poslovno putovanje,Poslovna,1464,2,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,9,Lično putovanje,Ekonomska,715,4,11,4,Zadovoljan
musko,Lojalan putnik,33,Poslovno putovanje,Poslovna,541,2,86,85,Zadovoljan
musko,Nelojalan putnik,64,Poslovno putovanje,Poslovna,293,3,3,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,8,Poslovno putovanje,Ekonomska,2092,3,26,23,Neutralan ili nezadovoljan
musko,Lojalan putnik,34,Lično putovanje,Ekonomska,1053,4,34,15,Neutralan ili nezadovoljan
musko,Lojalan putnik,59,Lično putovanje,Ekonomska,2521,1,0,2,Neutralan ili nezadovoljan
zensko,Lojalan putnik,13,Poslovno putovanje,Poslovna,2544,1,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,44,Lično putovanje,Ekonomska,158,4,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,54,Poslovno putovanje,Poslovna,1741,1,0,0,Zadovoljan
musko,Lojalan putnik,36,Poslovno putovanje,Poslovna,2651,4,10,0,Zadovoljan
zensko,Lojalan putnik,11,Lično putovanje,Ekonomska,760,5,102,88,Neutralan ili nezadovoljan
zensko,Lojalan putnik,32,Lično putovanje,Ekonomska,1036,5,12,9,Neutralan ili nezadovoljan
musko,Lojalan putnik,42,Poslovno putovanje,Ekonomska,2586,3,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,27,Poslovno putovanje,Ekonomska,1081,1,4,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,33,Lično putovanje,Ekonomska,646,4,1,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,28,Poslovno putovanje,Poslovna,308,3,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,44,Lično putovanje,Ekonomska,227,5,0,0,Zadovoljan
musko,Nelojalan putnik,49,Poslovno putovanje,Ekonomska,1754,3,33,28,Neutralan ili nezadovoljan
musko,Lojalan putnik,59,Poslovno putovanje,Poslovna,2176,3,5,0,Zadovoljan
musko,Nelojalan putnik,20,Poslovno putovanje,Poslovna,271,0,0,0,Zadovoljan
zensko,Lojalan putnik,46,Poslovno putovanje,Poslovna,1522,2,0,0,Zadovoljan
musko,Lojalan putnik,36,Poslovno putovanje,Ekonomska,325,5,0,0,Zadovoljan
zensko,Lojalan putnik,62,Poslovno putovanje,Poslovna,3217,2,19,16,Zadovoljan
musko,Lojalan putnik,59,Poslovno putovanje,Poslovna,1491,3,15,14,Zadovoljan
zensko,Lojalan putnik,29,Lično putovanje,Ekonomska,331,4,0,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,41,Poslovno putovanje,Poslovna,371,2,35,30,Neutralan ili nezadovoljan
musko,Lojalan putnik,7,Lično putovanje,Ekonomska,727,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,65,Lično putovanje,Poslovna,1249,5,40,44,Neutralan ili nezadovoljan
musko,Lojalan putnik,50,Poslovno putovanje,Poslovna,2614,2,0,9,Zadovoljan
zensko,Lojalan putnik,20,Poslovno putovanje,Ekonomska,951,3,57,41,Neutralan ili nezadovoljan
zensko,Lojalan putnik,58,Poslovno putovanje,Poslovna,2498,3,0,0,Zadovoljan
zensko,Lojalan putnik,45,Lično putovanje,Ekonomska Plus,545,5,14,20,Neutralan ili nezadovoljan
musko,Lojalan putnik,46,Lično putovanje,Ekonomska Plus,1838,5,0,0,Neutralan ili nezadovoljan
zensko,Lojalan putnik,43,Poslovno putovanje,Poslovna,3724,3,19,7,Zadovoljan
musko,Nelojalan putnik,26,Poslovno putovanje,Poslovna,280,2,0,6,Neutralan ili nezadovoljan
musko,Lojalan putnik,41,Poslovno putovanje,Ekonomska Plus,641,1,0,0,Zadovoljan
zensko,Lojalan putnik,50,Lično putovanje,Ekonomska,488,5,0,0,Neutralan ili nezadovoljan
musko,Lojalan putnik,38,Lično putovanje,Poslovna,1237,4,6,0,Neutralan ili nezadovoljan
zensko,Nelojalan putnik,38,Poslovno putovanje,Ekonomska,1062,1,0,0,Neutralan ili nezadovoljan
